"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","20597","","Tests.CatalogTest","","Tests.CatalogTest","","checkSubCategoryRazdel",""
"passed","","","17032","","Tests.CatalogTest","","Tests.CatalogTest","","checkElementsOnCatalog",""
"passed","","","38975","","Tests.CatalogTest","","Tests.CatalogTest","","checkResentlyWatched",""
